num_ip,reg_time,country,registrar,tld,dot_num,avg_host,max_host,avg_path,max_path,class
5,1270569600,,ENOM INC.,ru,0,4.5,7,0.0,0,bad
0,,,R01-RU,ro,0,9.0,9,0.0,0,bad
0,,,,com,0,6.0,6,0.0,0,bad
3,1102435200,FR,GANDI SAS,com,0,15.0,15,0.0,0,bad
2,1169568000,BG,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,info,0,5.0,5,0.0,0,bad
2,1136390400,BG,,net,0,9.0,9,0.0,0,bad
2,1131984000,BG,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM,org,0,7.0,7,0.0,0,bad
2,1165766400,BG,DIRECTI INTERNET SOLUTIONS PVT. LTD. D/B/A PUBLICDOMAINREGISTRY.COM (R27-LROR),us,0,9.0,10,0.0,0,bad
2,1051200000,US,,pl,0,5.0,5,0.0,0,bad
0,,,,be,0,3.0,3,0.0,0,bad
0,,,,pl,0,6.0,6,0.0,0,bad
0,,,,ua,0,4.0,4,0.0,0,bad
0,,,,ua,1,5.5,7,0.0,0,bad
0,,,,com,0,9.0,9,0.0,0,bad
2,1076601600,,REGISTER.COM INC.,si,0,5.0,8,0.0,0,bad
0,,,,com.ar,0,16.0,16,0.0,0,bad
0,,,,com,1,11.0,14,0.0,0,bad
2,1195833600,CA,TUCOWS INC.,org,0,12.0,12,0.0,0,bad
2,1417449600,CA,GODADDY.COM LLC,com.pl,0,10.0,10,0.0,0,bad
0,,,,it,1,5.5,6,4.333333333333333,7,bad
0,,,,ru,0,6.0,6,5.666666666666667,9,bad
0,,,,com,0,12.0,12,6.25,9,bad
2,965145600,CA,ENOM INC.,com,0,11.0,11,5.75,9,bad
2,,,,com,0,12.0,12,4.8,7,bad
2,1108483200,,GODADDY.COM LLC,com,0,10.0,10,4.0,6,bad
2,,,,com,0,10.0,10,4.0,6,bad
2,,,,com,0,10.0,10,4.333333333333333,6,bad
2,,,,com,0,10.0,10,4.666666666666667,8,bad
2,,,,com,1,5.5,6,3.3333333333333335,5,bad
2,1142697600,US,HOSTING CONCEPTS B.V. D/B/A OPENPROVIDER,cl,0,7.0,7,6.666666666666667,10,bad
0,,,,net,0,5.0,5,5.333333333333333,10,bad
2,967651200,,ONLINENIC INC.,com,0,10.0,10,6.0,10,bad
2,,,,com,0,10.0,10,4.0,6,bad
2,,,,com,0,10.0,10,4.0,6,bad
2,,,,com,0,10.0,10,4.666666666666667,6,bad
2,,,,com,0,10.0,10,4.0,6,bad
2,,,,com,0,10.0,10,4.25,6,bad
2,,,,com,0,10.0,10,3.6666666666666665,5,bad
2,,,,com,0,10.0,10,4.333333333333333,6,bad
2,,,,kz,0,5.0,5,3.3333333333333335,4,bad
0,,,,kz,0,5.0,5,3.6666666666666665,4,bad
0,,,,com,0,7.0,7,3.1666666666666665,4,bad
5,1009900800,,,com,0,13.0,13,5.0,6,bad
2,928339200,,GANDI SAS,com,0,9.0,9,6.0,9,bad
2,1063123200,DE,,com,1,6.0,8,2.0,3,bad
2,796924800,US,ENOM INC.,ru,1,5.0,7,2.5,3,bad
0,,,R01-RU,com,1,9.0,9,3.6666666666666665,5,bad
2,1076947200,US,ENOM INC.,com.br,1,5.5,8,3.5,4,bad
0,,,,com,1,4.0,6,2.3333333333333335,3,bad
