num,url:num_ip,reg_time,country,registrar
23404,flashspots.info:2,2016-09-12,CY,DANESCO TRADING LTD.
23403,shockdelivery.info:2,2016-10-17,CY,DANESCO TRADING LTD.
23407,bonuscpm.info:2,2016-10-22,CY,DANESCO TRADING LTD.
23405,adsstock.info:2,2016-10-14,CY,DANESCO TRADING LTD.
23409,basicclicks.net:0,,,
23410,swagads.net:3,2015-10-30,UNITED KINGDOM,EVOPLUS LTD
23411,bucksdelivery.info:3,2016-10-24,GB,EVOPLUS LTD.
23399,boostedads.info:1,2016-10-22,GB,EVOPLUS LTD.
23393,mediashouse.info:2,2016-09-13,CY,DANESCO TRADING LTD.
23412,postermedia.info:3,2016-10-24,GB,EVOPLUS LTD.
23414,globuscpm.info:1,2016-10-22,GB,EVOPLUS LTD.
23413,rangoomedia.info:2,2016-10-23,CY,DANESCO TRADING LTD.
23415,parishads.info:2,2016-10-28,CY,DANESCO TRADING LTD.
23416,mediadelux.info:3,2016-10-25,GB,EVOPLUS LTD.
23417,supperpromo.info:2,2016-10-23,CY,DANESCO TRADING LTD.
23418,whitecpm.info:1,2016-10-17,GB,EVOPLUS LTD.
23421,freshcpm.info:2,2016-10-25,CY,DANESCO TRADING LTD.
23422,adultadspace.info:3,2016-09-21,GB,EVOPLUS LTD.
23423,yoursbanner.info:2,2016-10-24,CY,DANESCO TRADING LTD.
23424,bonbonads.info:3,2016-10-24,GB,EVOPLUS LTD.
23425,mediasupply.info:3,2016-10-23,GB,EVOPLUS LTD.
23426,frtysx.info:2,2016-08-31,CY,DANESCO TRADING LTD.
23427,vertigoads.info:2,2016-10-02,CY,DANESCO TRADING LTD.
23419,coolads.info:2,2008-09-27,US,NETWORK SOLUTIONS (R122-LRMS)
23428,profitbanner.info:2,2016-09-12,CY,DANESCO TRADING LTD.
23429,startmedia.info:2,2016-10-01,CY,DANESCO TRADING LTD.
23430,comspacecom.info:2,2016-09-27,CY,DANESCO TRADING LTD.
23432,front-page.info:1,2016-09-27,GB,EVOPLUS LTD.
23434,ugetmore.info:0,,,
23431,freehookuper.info:2,2016-09-02,CY,DANESCO TRADING LTD.
23433,endcpm.info:2,2016-10-23,CY,DANESCO TRADING LTD.
23436,mamasmedia.info:2,2016-10-08,CY,DANESCO TRADING LTD.
23437,wideads.info:2,2016-09-27,CY,DANESCO TRADING LTD.
23440,luxuryads.info:1,2016-10-06,GB,EVOPLUS LTD.
23438,chooseyourads.info:2,2016-09-29,CY,DANESCO TRADING LTD.
23439,geniusmedia.info:2,2014-01-07,RO,WILD WEST DOMAINS LLC (R213-LRMS)
23442,cooperloop.info:2,2016-10-04,CY,DANESCO TRADING LTD.
23441,prormohookup.info:2,2016-09-05,CY,DANESCO TRADING LTD.
23443,mindflash.info:2,2010-01-12,ID,GODADDY.COM INC. (R171-LRMS)
23444,brothermedia.info:1,2016-10-19,GB,EVOPLUS LTD.
23445,adsgodzilla.info:2,2016-09-25,CY,DANESCO TRADING LTD.
23435,adultbanner.info:1,2016-10-16,GB,EVOPLUS LTD.
23446,ferromedia.info:2,2016-09-20,CY,DANESCO TRADING LTD.
23420,jockermedia.info:3,2016-10-24,GB,EVOPLUS LTD.
23447,coolbanner.info:2,2016-09-23,CY,DANESCO TRADING LTD.
23448,zorroads.info:3,2016-10-23,GB,EVOPLUS LTD.
23451,fortynn.info:2,2016-09-05,CY,DANESCO TRADING LTD.
23450,kilomedia.info:2,2016-09-23,CY,DANESCO TRADING LTD.
23449,cozyads.info:3,2016-10-01,GB,EVOPLUS LTD.
